sale_id,sale_date,year,month,quarter,brand,model,vehicle_type,fuel_type,transmission,condition,branch_location,units_sold,avg_selling_price_lkr,discount_percentage,revenue_lkr,is_festive_month,is_promotion_month,stock_available,booking_count,fuel_price_index,market_shock_flag
48,2020-01-01,2020,1,1,Toyota,Axio,Sedan,Hybrid,Auto,Reconditioned,Colombo,1,8321068.68,0.5,8321068.68,0,0,44.0,29.0,128.55,0
300,2020-01-01,2020,1,1,Perodua,Axia,Hatchback,Petrol,Auto,Used,Colombo,1,3661245.97,2.35,3661245.97,0,0,21.0,15.0,132.25,0
206,2020-01-01,2020,1,1,Suzuki,Swift,Hatchback,Hybrid,Auto,Used,Colombo,1,7248408.15,0.77,7248408.15,0,0,38.0,26.0,137.29,0
83,2020-01-01,2020,1,1,Honda,Vezel,Crossover,Hybrid,Auto,Reconditioned,Colombo,1,12335984.48,0.0,12335984.48,0,0,21.0,20.0,130.19,0
317,2020-01-01,2020,1,1,Perodua,Myvi,Hatchback,Petrol,Auto,Used,Colombo,1,4788550.91,0.32,4788550.91,0,0,29.0,14.0,141.51,0
163,2020-01-01,2020,1,1,Suzuki,Wagon R,Hatchback,Hybrid,Auto,Used,Colombo,1,6166341.92,0.0,6166341.92,0,0,34.0,27.0,127.73,0
47,2020-01-01,2020,1,1,Toyota,Axio,Sedan,Hybrid,Auto,Reconditioned,Colombo,1,9053239.15,0.38,9053239.15,0,0,40.0,28.0,128.55,0
153,2020-01-02,2020,1,1,Suzuki,Wagon R,Hatchback,Hybrid,Auto,Used,Colombo,1,6722589.4,0.0,6722589.4,0,0,35.0,29.0,127.73,0
173,2020-01-02,2020,1,1,Suzuki,Wagon R,Hatchback,Hybrid,Auto,Used,Colombo,1,6692664.32,0.44,6692664.32,0,0,34.0,25.0,127.73,0
159,2020-01-02,2020,1,1,Suzuki,Wagon R,Hatchback,Hybrid,Auto,Used,Colombo,1,6218224.89,0.0,6218224.89,0,0,35.0,25.0,127.73,0
214,2020-01-02,2020,1,1,Suzuki,Swift,Hatchback,Hybrid,Auto,Used,Colombo,1,7401282.07,0.0,7401282.07,0,0,42.0,22.0,137.29,0
256,2020-01-02,2020,1,1,Hyundai,Grand I10,Hatchback,Petrol,Auto,Used,Colombo,1,5454978.98,2.45,5454978.98,0,0,29.0,12.0,127.37,0
195,2020-01-02,2020,1,1,Suzuki,Swift,Hatchback,Hybrid,Auto,Used,Colombo,1,7301707.42,0.51,7301707.42,0,0,35.0,19.0,137.29,0
229,2020-01-02,2020,1,1,Nissan,X-Trail,Suv,Hybrid,Auto,Used,Colombo,1,14034982.22,2.56,14034982.22,0,0,19.0,8.0,127.03,0
210,2020-01-02,2020,1,1,Suzuki,Swift,Hatchback,Hybrid,Auto,Used,Colombo,1,7297756.43,0.0,7297756.43,0,0,33.0,23.0,137.29,0
199,2020-01-02,2020,1,1,Suzuki,Swift,Hatchback,Hybrid,Auto,Used,Colombo,1,7603391.3,0.67,7603391.3,0,0,36.0,22.0,137.29,0
53,2020-01-02,2020,1,1,Toyota,Yaris,Hatchback,Petrol,Auto,Used,Colombo,1,6393575.93,0.69,6393575.93,0,0,34.0,23.0,139.52,0
223,2020-01-02,2020,1,1,Nissan,X-Trail,Suv,Hybrid,Auto,Used,Colombo,1,13590492.07,1.38,13590492.07,0,0,18.0,9.0,127.03,0
179,2020-01-02,2020,1,1,Suzuki,Alto,Hatchback,Petrol,Manual,Used,Colombo,1,3984205.02,1.2,3984205.02,0,0,28.0,20.0,142.59,0
307,2020-01-02,2020,1,1,Perodua,Bezza,Sedan,Petrol,Auto,Used,Colombo,1,4097437.35,1.22,4097437.35,0,0,15.0,8.0,133.62,0
166,2020-01-02,2020,1,1,Suzuki,Wagon R,Hatchback,Hybrid,Auto,Used,Colombo,1,6724614.25,0.6,6724614.25,0,0,33.0,26.0,127.73,0
268,2020-01-02,2020,1,1,Hyundai,Grand I10,Hatchback,Petrol,Auto,Used,Colombo,1,5751897.12,1.8,5751897.12,0,0,31.0,16.0,127.37,0
196,2020-01-03,2020,1,1,Suzuki,Swift,Hatchback,Hybrid,Auto,Used,Colombo,1,7502313.22,0.0,7502313.22,0,0,40.0,22.0,137.29,0
75,2020-01-03,2020,1,1,Toyota,Hilux,Suv,Diesel,Auto,Used,Colombo,1,17169428.55,0.0,17169428.55,0,0,30.0,13.0,140.44,0
37,2020-01-03,2020,1,1,Toyota,Axio,Sedan,Hybrid,Auto,Reconditioned,Colombo,1,8437417.42,0.0,8437417.42,0,0,40.0,34.0,128.55,0
326,2020-01-03,2020,1,1,Mahindra,Kuv100,Crossover,Petrol,Manual,Used,Colombo,1,4519398.78,1.17,4519398.78,0,0,24.0,6.0,135.52,0
333,2020-01-03,2020,1,1,Mahindra,Jeeto,Van,Diesel,Manual,Used,Colombo,1,3670599.21,2.81,3670599.21,0,0,6.0,2.0,136.07,0
327,2020-01-03,2020,1,1,Mahindra,Kuv100,Crossover,Petrol,Manual,Used,Colombo,1,4536040.46,2.92,4536040.46,0,0,25.0,7.0,135.52,0
204,2020-01-03,2020,1,1,Suzuki,Swift,Hatchback,Hybrid,Auto,Used,Colombo,1,7471014.83,0.0,7471014.83,0,0,37.0,21.0,137.29,0
230,2020-01-03,2020,1,1,Nissan,Dayz,Hatchback,Petrol,Auto,Used,Colombo,1,4587302.14,0.0,4587302.14,0,0,37.0,16.0,131.27,0
7,2020-01-03,2020,1,1,Toyotax,Prius,Sedan,Hybrid,Auto,Reconditioned,Colombo,1,9083720.8,1.89,9083720.8,0,0,32.0,31.0,128.39,0
164,2020-01-03,2020,1,1,Suzuki,Wagon R,Hatchback,Hybrid,Auto,Used,Colombo,1,6305607.64,0.0,6305607.64,0,0,36.0,27.0,127.73,0
95,2020-01-03,2020,1,1,Honda,Vezel,Crossover,Hybrid,Auto,Reconditioned,Colombo,1,13212930.75,1.64,13212930.75,0,0,22.0,19.0,130.19,0
189,2020-01-03,2020,1,1,Suzuki,Alto,Hatchback,Petrol,Manual,Used,Colombo,1,4029888.23,1.09,4029888.23,0,0,28.0,21.0,142.59,0
224,2020-01-03,2020,1,1,Nissan,X-Trail,Suv,Hybrid,Auto,Used,Colombo,1,13349514.48,1.02,13349514.48,0,0,18.0,10.0,127.03,0
348,2020-01-03,2020,1,1,Others,Mazda Demio,Hatchback,Petrol,Auto,Used,Colombo,1,5895516.06,0.0,5895516.06,0,0,20.0,11.0,139.63,0
186,2020-01-03,2020,1,1,Suzuki,Alto,Hatchback,Petrol,Manual,Used,Colombo,1,4037912.89,0.0,4037912.89,0,0,30.0,23.0,142.59,0
276,2020-01-04,2020,1,1,Mitsubishi,Lancer,Sedan,Petrol,Auto,Used,Colombo,1,6376823.2,2.77,6376823.2,0,0,16.0,12.0,138.48,0
220,2020-01-04,2020,1,1,Suzuki,Every,Van,Petrol,Auto,Used,Colombo,1,4855081.7,0.0,4855081.7,0,0,21.0,6.0,128.47,0
175,2020-01-04,2020,1,1,Suzuki,Wagon R,Hatchback,Hybrid,Auto,Used,Colombo,1,6350634.74,0.77,6350634.74,0,0,31.0,27.0,127.73,0
355,2020-01-04,2020,1,1,Others,Mazda Demio,Hatchback,Petrol,Auto,Used,Colombo,1,5862093.7,1.14,5862093.7,0,0,22.0,11.0,139.63,0
112,2020-01-04,2020,1,1,Honda,Grace,Sedan,Hybrid,Auto,Reconditioned,Colombo,1,7547709.07,0.25,7547709.07,0,0,23.0,20.0,135.85,0
122,2020-01-04,2020,1,1,Honda,Fit,Hatchback,Hybrid,Auto,Used,Colombo,1,7389197.87,1.69,7389197.87,0,0,26.0,27.0,133.61,0
336,2020-01-04,2020,1,1,Others,Micro Panda,Hatchback,Petrol,Manual,Used,Colombo,1,2965124.43,0.0,2965124.43,0,0,20.0,13.0,139.77,0
58,2020-01-04,2020,1,1,Toyota,Yaris,Hatchback,Petrol,Auto,Used,Colombo,1,6723736.3,1.43,6723736.3,0,0,33.0,20.0,139.52,0
338,2020-01-04,2020,1,1,Others,Micro Panda,Hatchback,Petrol,Manual,Used,Colombo,1,3189384.61,0.18,3189384.61,0,0,20.0,13.0,139.77,0
151,2020-01-04,2020,1,1,Honda,Cr-V,Suv,Petrol,Auto,Used,Colombo,1,14292745.14,1.02,14292745.14,0,0,13.0,14.0,141.57,0
87,2020-01-04,2020,1,1,Honda,Vezel,Crossover,Hybrid,Auto,Reconditioned,Colombo,1,13293885.59,0.62,13293885.59,0,0,21.0,21.0,130.19,0
236,2020-01-05,2020,1,1,Nissan,Dayz,Hatchback,Petrol,Auto,Used,Colombo,1,4601424.8,0.37,4601424.8,0,0,36.0,17.0,131.27,0
139,2020-01-05,2020,1,1,Honda,Fit,Hatchback,Hybrid,Auto,Used,Colombo,1,6944530.02,2.57,6944530.02,0,0,26.0,26.0,133.61,0
192,2020-01-05,2020,1,1,Suzuki,Alto,Hatchback,Petrol,Manual,Used,Colombo,1,3729329.46,0.57,3729329.46,0,0,27.0,20.0,142.59,0
74,2020-01-05,2020,1,1,Toyota,Hilux,Suv,Diesel,Auto,Used,Colombo,1,15943194.82,1.22,15943194.82,0,0,28.0,11.0,140.44,0
145,2020-01-05,2020,1,1,Honda,Cr-V,Suv,Petrol,Auto,Used,Colombo,1,13819762.95,0.88,13819762.95,0,0,13.0,16.0,141.57,0
35,2020-01-05,2020,1,1,Toyota,Axio,Sedan,Hybrid,Auto,Reconditioned,Colombo,1,8554083.65,1.64,8554083.65,0,0,41.0,30.0,128.55,0
146,2020-01-05,2020,1,1,Honda,Cr-V,Suv,Petrol,Auto,Used,Colombo,1,15235570.55,1.16,15235570.55,0,0,13.0,15.0,141.57,0
207,2020-01-05,2020,1,1,Suzuki,Swift,Hatchback,Hybrid,Auto,Used,Colombo,1,7236769.35,3.18,7236769.35,0,0,36.0,22.0,137.29,0
